kepid,ra,dec,teff,teff_err_high,teff_err_low,logg,logg_err_high,logg_err_low,kepmag,Q4,Q8,Q11,Q16
5309121,19 58 33.473,+40 28 29.68,9336,263,-451,4.069,0.18,-0.198,9.908,0,0,1,-1
5309547,19 58 51.833,+40 29 44.55,6831,214,-285,3.969,0.299,-0.161,13.051,-1,-1,-1,-1
5309849,19 59 06.878,+40 27 01.16,9315,260,-409,4.077,0.14,-0.21,12.086,1,0,-1,1
5310387,19 59 30.924,+40 28 56.75,6812,190,-238,4.068,0.234,-0.175,12.682,-1,-1,-1,-1
5310435,19 59 32.930,+40 29 14.42,6562,210,-257,3.835,0.472,-0.118,13.254,-1,-1,-1,-1
5341666,18 55 43.922,+40 35 28.33,3755,59,-59,4.774,0.036,-0.024,14.808,1,-1,-1,1
5341746,18 55 51.739,+40 35 17.41,5044,111,-100,3.202,0.03,-0.03,13.457,0,0,0,-1
5342029,18 56 25.106,+40 33 17.00,6109,165,-184,4.446,0.098,-0.196,14.848,0,0,0,-1
5342558,18 57 28.682,+40 35 36.79,3154,,,5.131,,,13.88,-1,-1,-1,-1
5343239,18 58 52.793,+40 34 19.46,4755,128,-142,4.573,0.063,-0.031,14.924,0,0,-1,0
5343976,19 00 20.566,+40 31 39.47,5655,186,-186,4.472,0.108,-0.162,12.612,-1,-1,-1,-1
5344704,19 01 44.554,+40 33 14.87,4595,161,-161,4.63,0.048,-0.032,15.553,0,-1,0,0
5344895,19 02 08.246,+40 33 22.71,4472,132,-132,4.565,0.06,-0.016,11.785,-1,-1,-1,-1
5345420,19 03 10.987,+40 34 48.08,5566,167,-150,4.608,0.04,-0.12,13.754,-1,0,0,0
5347784,19 07 17.402,+40 30 47.60,5605,168,-151,3.813,0.608,-0.152,13.094,-1,-1,-1,-1
5350100,19 11 13.800,+40 30 12.46,6057,180,-198,4.338,0.132,-0.198,14.733,1,-1,0,0
5350161,19 11 19.848,+40 33 10.01,6129,212,-233,4.373,0.108,-0.201,15.22,0,0,0,-1
5350729,19 12 07.186,+40 35 37.61,5740,155,-155,4.582,0.033,-0.176,14.717,0,-1,0,0
5350822,19 12 16.421,+40 30 21.96,5017,151,-136,4.516,0.08,-0.161,14.364,-1,1,-1,-1
5351136,19 12 44.546,+40 33 21.02,5310,202,-184,4.512,0.095,-0.095,15.755,1,1,0,-1
5351320,19 13 02.614,+40 34 20.75,3360,43,-40,4.961,0.044,-0.044,15.662,-1,-1,-1,-1
5351652,19 13 31.457,+40 35 49.56,5530,150,-150,4.567,0.026,-0.136,14.74,0,-1,0,0
5352027,19 14 02.417,+40 32 31.91,5927,175,-211,4.544,0.048,-0.204,15.727,-1,-1,-1,-1
5353374,19 15 53.731,+40 30 36.28,6640,181,-221,4.143,0.185,-0.185,14.068,-1,-1,-1,-1
5355850,19 18 59.304,+40 33 52.24,8124,64,-97,3.735,0.315,-0.052,9.501,-1,-1,-1,-1
5356593,19 19 52.018,+40 31 57.58,5761,77,-77,4.306,0.156,-0.117,13.725,-1,-1,-1,-1
5356674,19 19 59.882,+40 34 58.09,3482,119,-107,0.425,0.27,-0.18,13.415,-1,-1,-1,-1
5357069,19 20 30.960,+40 35 03.15,6031,162,-198,4.298,0.162,-0.18,13.962,0,0,-1,0
5357108,19 20 33.502,+40 31 19.64,4545,136,-136,4.657,0.052,-0.028,12.628,-1,-1,-1,1
5357275,19 20 46.171,+40 35 35.06,5252,94,-71,4.018,0.484,-0.085,11.847,-1,-1,-1,-1
5357380,19 20 53.268,+40 34 37.09,3985,141,-98,1.623,0.25,-0.25,10.17,1,1,-1,1
5357446,19 20 57.662,+40 32 37.61,6137,82,-92,4.322,0.099,-0.121,10.025,0,-1,-1,-1
5357901,19 21 25.927,+40 34 03.87,5167,82,-82,4.527,0.04,-0.06,14.741,-1,-1,-1,-1
5358110,19 21 41.419,+40 34 38.57,5122,153,-153,4.503,0.096,-0.072,14.998,0,1,-1,0
5358149,19 21 44.386,+40 31 49.04,5024,181,-181,4.527,0.084,-0.063,15.834,0,0,0,-1
5358499,19 22 10.166,+40 35 39.66,6198,156,-203,4.475,0.052,-0.157,12.675,0,-1,0,0
5358542,19 22 13.382,+40 34 24.70,5822,158,-176,4.47,0.054,-0.202,14.814,0,0,-1,0
5358624,19 22 19.615,+40 34 38.64,5150,82,-82,4.572,0.02,-0.064,15.224,-1,-1,-1,-1
5359022,19 22 54.274,+40 31 39.82,6395,154,-192,4.506,0.05,-0.2,13.955,0,0,-1,0
5359568,19 23 38.710,+40 35 50.06,4926,51,-87,3.091,0.036,-0.027,13.149,-1,0,0,0
5359678,19 23 48.317,+40 32 52.69,6367,153,-192,4.419,0.062,-0.188,14.154,-1,-1,-1,-1
5360082,19 24 20.002,+40 33 59.90,4594,137,-151,4.679,0.056,-0.028,14.772,-1,-1,-1,-1
5360129,19 24 23.386,+40 33 08.52,3746,45,-50,4.736,0.033,-0.015,15.878,-1,-1,-1,-1
5361145,19 25 37.178,+40 35 36.52,9705,511,-1023,3.831,0.45,-0.079,9.601,0,-1,1,-1
5361158,19 25 38.407,+40 34 59.67,6173,83,-83,4.101,0.188,-0.101,14.064,0,0,0,-1
5364217,19 29 19.637,+40 32 23.25,4854,146,-146,4.624,0.027,-0.059,15.88,0,0,0,-1
5369403,19 35 17.453,+40 31 04.36,5778,156,-190,4.531,0.044,-0.176,15.783,0,0,-1,0
5369419,19 35 18.670,+40 33 03.10,6971,191,-239,4.206,0.175,-0.175,12.973,-1,-1,-1,-1
5369795,19 35 42.034,+40 31 36.69,5841,156,-191,4.52,0.039,-0.221,14.921,0,1,-1,0
5369827,19 35 44.033,+40 35 26.66,5508,99,-110,4.569,0.012,-0.108,13.461,0,0,-1,-1
5370063,19 35 59.347,+40 32 08.31,5984,184,-226,4.49,0.04,-0.216,15.669,0,0,-1,0
5370302,19 36 13.622,+40 32 58.84,5810,157,-175,4.526,0.05,-0.2,15.016,-1,-1,-1,-1
5371109,19 37 03.070,+40 35 54.82,7624,237,-316,4.048,0.216,-0.144,13.972,-1,-1,-1,-1
5371501,19 37 26.623,+40 31 48.16,6537,182,-250,3.692,0.519,-0.092,11.174,-1,-1,-1,-1
5371516,19 37 27.686,+40 35 19.85,6299,75,-88,3.981,0.011,-0.009,8.371,0,0,-1,0
5371597,19 37 33.216,+40 32 34.80,6032,162,-180,4.485,0.056,-0.224,12.239,0,0,-1,-1
5372018,19 38 01.502,+40 32 03.78,5093,151,-151,4.64,0.033,-0.072,15.422,0,-1,0,0
5372048,19 38 02.856,+40 31 04.52,4342,117,-143,4.738,0.07,-0.03,14.523,-1,-1,1,0
5372784,19 38 48.295,+40 33 25.77,5160,154,-154,4.583,0.036,-0.084,15.443,0,0,-1,0
5372966,19 38 58.550,+40 32 02.11,5670,169,-169,4.523,0.066,-0.154,15.365,-1,-1,-1,-1
5373377,19 39 23.686,+40 32 45.16,7725,211,-316,4.122,0.139,-0.17,13.956,-1,-1,-1,-1
5373390,19 39 24.317,+40 32 42.14,5516,166,-149,4.355,0.171,-0.209,13.776,0,1,-1,0
5373555,19 39 34.562,+40 33 16.38,4322,129,-142,4.676,0.056,-0.028,13.949,0,-1,0,0
5373741,19 39 45.360,+40 34 25.96,6546,146,-178,4.054,0.228,-0.123,12.619,0,-1,0,0
5374999,19 40 59.664,+40 33 19.18,6043,164,-200,4.578,0.033,-0.187,15.293,-1,-1,-1,-1
5375200,19 41 12.598,+40 35 31.55,3816,85,-104,0.795,0.03,-0.03,10.939,1,-1,1,-1
5376552,19 42 26.359,+40 35 53.91,7101,199,-274,4.069,0.204,-0.167,12.86,-1,-1,-1,-1
5376761,19 42 37.596,+40 35 13.81,5841,156,-208,4.52,0.038,-0.212,14.5,0,0,0,-1
5376836,19 42 41.112,+40 35 56.62,5907,158,-175,4.519,0.062,-0.188,14.041,-1,-1,-1,-1
5377349,19 43 07.478,+40 32 18.39,5870,176,-193,4.324,0.158,-0.193,14.946,-1,-1,-1,-1
5381849,19 47 04.183,+40 35 53.04,3923,101,-91,0.768,0.03,-0.03,11.878,-1,-1,1,1
5383048,19 48 06.593,+40 30 12.70,5887,70,-88,4.473,0.04,-0.12,10.768,0,0,-1,0
5383248,19 48 16.706,+40 31 30.47,5683,114,-114,4.422,0.085,-0.114,10.297,0,0,-1,0
5383372,19 48 23.321,+40 35 41.92,5817,158,-158,4.438,0.116,-0.188,14.532,0,0,-1,1
5383476,19 48 29.436,+40 30 11.08,5435,165,-132,3.567,1.087,-0.362,13.973,-1,-1,-1,-1
5384713,19 49 43.008,+40 33 42.87,3705,74,-74,4.721,0.039,-0.021,13.693,0,0,-1,0
5384802,19 49 47.770,+40 30 39.24,6431,102,-141,4.293,0.076,-0.114,13.705,-1,-1,-1,-1
5385141,19 50 05.090,+40 30 06.69,6857,214,-285,4.153,0.185,-0.185,10.007,-1,-1,-1,-1
5385151,19 50 05.640,+40 33 13.90,5755,173,-173,4.234,0.236,-0.172,14.646,-1,-1,-1,-1
5385754,19 50 38.774,+40 31 33.34,6649,213,-260,3.619,0.648,-0.108,13.61,-1,-1,-1,-1
5385778,19 50 40.291,+40 34 49.01,4849,48,-115,3.06,0.18,-0.105,12.696,1,1,-1,-1
5385792,19 50 41.009,+40 35 09.60,6640,161,-241,4.343,0.058,-0.217,13.596,1,0,-1,-1
5385838,19 50 44.143,+40 35 35.34,6541,197,-217,3.773,0.312,-0.078,12.967,0,1,1,-1
5386712,19 51 36.204,+40 31 24.88,6253,150,-206,4.462,0.063,-0.147,12.236,0,0,-1,0
5387719,19 52 25.745,+40 32 05.60,9111,286,-394,3.857,0.36,-0.12,10.167,0,0,-1,0
5387770,19 52 28.236,+40 35 38.26,9206,251,-466,3.591,0.585,-0.065,10.33,1,0,0,-1
5387909,19 52 35.230,+40 32 34.29,6854,190,-285,4.202,0.17,-0.187,11.887,1,-1,-1,-1
5388155,19 52 47.938,+40 32 03.16,3298,117,-78,0.129,0.212,-0.05,11.638,-1,-1,-1,-1
5388229,19 52 50.683,+40 30 45.00,5371,160,-160,4.403,0.152,-0.247,14.684,-1,-1,-1,-1
5388887,19 53 23.239,+40 34 59.83,3497,79,-96,0.551,0.03,-0.03,11.552,-1,-1,-1,-1
5389066,19 53 31.428,+40 33 48.20,6122,165,-202,4.471,0.054,-0.216,12.63,0,0,-1,1
5389234,19 53 39.053,+40 34 53.87,7223,228,-279,4.177,0.128,-0.192,12.539,-1,-1,-1,-1
5389616,19 53 55.438,+40 30 25.02,6063,164,-182,4.525,0.046,-0.184,14.669,-1,-1,-1,-1
5390342,19 54 27.818,+40 35 30.15,6534,180,-271,4.365,0.075,-0.175,15.341,0,0,0,-1
5390878,19 54 50.983,+40 32 20.23,6756,183,-204,4.06,0.276,-0.161,11.719,-1,-1,-1,-1
5390913,19 54 52.200,+40 32 31.09,6423,193,-193,4.121,0.434,-0.186,12.075,-1,-1,-1,-1
5391808,19 55 30.982,+40 35 15.61,5177,171,-140,4.487,0.09,-0.09,14.729,0,0,-1,0
5392089,19 55 43.740,+40 33 10.80,7102,199,-274,4.205,0.128,-0.192,12.882,1,1,1,-1
5392897,19 56 16.663,+40 30 56.37,6153,191,-233,4.487,0.052,-0.208,15.747,-1,-1,-1,-1
5393558,19 56 44.825,+40 30 06.12,5931,158,-193,4.196,0.246,-0.164,13.752,-1,-1,-1,-1
5393589,19 56 46.217,+40 30 48.78,7041,197,-296,4.114,0.157,-0.192,12.928,-1,-1,-1,-1
5393802,19 56 56.405,+40 34 00.52,6101,163,-181,4.431,0.07,-0.21,11.783,-1,-1,-1,-1
5394408,19 57 22.968,+40 30 59.10,6461,177,-278,4.33,0.07,-0.21,15.087,-1,0,0,0
5394544,19 57 29.465,+40 35 01.86,6113,164,-183,4.512,0.04,-0.216,12.804,-1,-1,-1,-1
5395139,19 57 53.693,+40 35 07.90,6973,192,-288,4.365,0.056,-0.224,13.792,1,-1,-1,-1
5395219,19 57 57.509,+40 34 44.55,5319,175,-159,4.588,0.03,-0.12,15.207,0,0,0,-1
5395418,19 58 05.911,+40 35 47.94,9164,285,-381,3.865,0.343,-0.147,8.708,0,-1,-1,0
5395490,19 58 09.456,+40 30 57.39,5374,177,-160,4.591,0.065,-0.071,15.829,0,1,1,-1
5395645,19 58 16.349,+40 32 37.82,6531,176,-216,4.486,0.048,-0.192,14.99,-1,-1,-1,-1
5396322,19 58 45.182,+40 31 01.63,5317,185,-119,4.015,0.382,-0.127,11.681,0,0,0,-1
5396800,19 59 09.331,+40 31 19.17,5731,156,-156,4.272,0.214,-0.175,13.201,-1,1,1,0
5396882,19 59 13.668,+40 34 28.67,5408,177,-160,4.476,0.092,-0.138,14.643,-1,-1,1,0
5396950,19 59 16.742,+40 31 43.79,7303,203,-319,4.18,0.09,-0.195,13.879,1,-1,-1,-1
5397064,19 59 21.569,+40 32 47.80,3963,136,-150,4.647,0.056,-0.02,14.058,0,0,0,-1
5397166,19 59 26.316,+40 33 50.22,5904,212,-212,3.602,0.671,-0.158,13.493,0,-1,0,0
5397422,19 59 38.285,+40 31 54.16,4125,144,-158,4.624,0.053,-0.018,14.502,1,-1,-1,-1
5397516,19 59 43.219,+40 34 34.54,6605,181,-250,4.079,0.252,-0.168,13.815,-1,-1,-1,-1
5397900,19 59 59.254,+40 35 04.20,5872,175,-175,4.438,0.101,-0.188,15.005,-1,-1,-1,-1
5425950,18 52 13.682,+40 41 17.48,5671,152,-152,4.554,0.044,-0.176,15.003,-1,-1,-1,-1
5426356,18 53 03.170,+40 37 50.58,6086,162,-180,4.274,0.18,-0.18,12.73,-1,-1,-1,-1
5426665,18 53 39.689,+40 38 00.82,6329,169,-206,4.231,0.167,-0.185,14.475,-1,-1,-1,-1
5427387,18 55 05.026,+40 36 39.02,6306,175,-159,3.589,0.323,-0.086,13.389,0,-1,0,0
5427445,18 55 12.394,+40 36 04.72,4619,138,-138,4.737,0.048,-0.024,15.269,-1,-1,-1,-1
5427586,18 55 31.774,+40 41 58.70,5080,151,-151,4.569,0.033,-0.077,14.626,-1,0,0,0
5427641,18 55 37.303,+40 37 59.26,5351,159,-159,4.466,0.121,-0.162,14.53,-1,-1,-1,-1
5427752,18 55 49.855,+40 39 08.38,5629,152,-152,4.596,0.038,-0.143,14.023,0,-1,0,-1
5428088,18 56 32.753,+40 37 52.49,3671,65,-80,4.797,0.045,-0.031,14.781,-1,-1,-1,-1
5428125,18 56 37.850,+40 36 31.98,6084,211,-211,3.823,0.56,-0.14,11.267,-1,1,-1,-1
5428626,18 57 41.813,+40 40 15.45,4914,149,-112,3.11,0.39,-0.319,13.98,-1,-1,-1,-1
5428657,18 57 45.842,+40 37 30.00,4530,139,-139,4.704,0.052,-0.032,15.121,-1,0,1,-1
5429163,18 58 45.214,+40 40 34.43,8254,226,-340,4.083,0.165,-0.135,9.72,-1,-1,-1,-1
5429223,18 58 51.679,+40 37 14.99,3280,117,-78,0.13,0.2,-0.05,9.035,-1,-1,-1,-1
5429227,18 58 51.922,+40 41 45.66,4648,140,-126,4.6,0.054,-0.027,14.486,-1,0,-1,-1
5429605,18 59 37.140,+40 41 56.40,5662,152,-169,4.575,0.038,-0.152,15.857,0,-1,0,0
5429882,19 00 09.074,+40 39 28.18,5745,155,-155,4.556,0.036,-0.192,14.967,0,0,0,-1
5430224,19 00 52.435,+40 38 36.10,4924,87,-174,2.513,0.672,-0.119,11.007,-1,-1,-1,1
5430242,19 00 54.828,+40 39 19.08,5484,147,-147,4.322,0.195,-0.195,12.783,-1,0,0,0
5430514,19 01 24.338,+40 36 05.58,7904,220,-330,3.629,0.485,-0.114,8.913,-1,-1,-1,-1
5431956,19 04 06.151,+40 40 24.06,4854,101,-173,2.411,0.568,-0.142,10.74,-1,1,-1,-1
5435620,19 10 12.583,+40 41 57.70,7107,175,-300,4.201,0.105,-0.195,13.412,-1,-1,-1,-1
5435628,19 10 13.133,+40 39 26.88,5145,157,-141,3.597,0.96,-0.32,11.081,-1,-1,0,0
5435736,19 10 23.350,+40 38 56.59,5880,184,-204,4.518,0.048,-0.192,15.605,-1,0,0,0
5435923,19 10 40.678,+40 41 03.45,3482,46,-46,4.904,0.038,-0.031,15.422,1,-1,0,0
5436432,19 11 27.919,+40 41 26.63,8529,235,-370,3.769,0.412,-0.137,9.009,0,-1,-1,-1
5436502,19 11 35.311,+40 38 16.16,5739,114,-103,4.191,0.162,-0.108,15.084,1,1,1,-1
5437459,19 13 08.299,+40 38 18.09,3892,54,-62,4.73,0.02,-0.026,15.23,-1,1,-1,-1
5437763,19 13 35.566,+40 38 56.79,4735,130,-95,3.011,0.434,-0.355,11.795,1,0,1,-1
5437830,19 13 43.066,+40 41 21.55,4918,148,-133,4.546,0.072,-0.044,14.38,-1,0,0,0
5437849,19 13 44.582,+40 36 04.96,5380,72,-88,3.661,0.15,-0.1,13.783,-1,-1,-1,-1
5438845,19 15 11.638,+40 36 25.59,5237,157,-157,4.637,0.061,-0.039,14.617,-1,0,-1,-1
5438922,19 15 18.487,+40 40 05.52,4362,64,-129,1.717,0.03,-0.03,8.507,0,-1,1,-1
5439790,19 16 28.946,+40 39 01.87,6728,80,-80,4.034,0.159,-0.13,13.248,-1,-1,-1,-1
5440099,19 16 52.493,+40 37 25.96,5197,181,-181,4.548,0.091,-0.063,15.82,0,1,-1,1
5440599,19 17 30.878,+40 37 11.71,5539,74,-83,4.475,0.064,-0.088,14.029,0,0,-1,0
5440651,19 17 33.787,+40 39 17.21,5109,153,-153,4.564,0.078,-0.052,15.341,-1,-1,-1,-1
5440746,19 17 41.102,+40 37 57.62,6352,156,-203,4.427,0.067,-0.202,14.172,-1,-1,-1,-1
5442026,19 19 16.781,+40 36 46.37,4426,80,-80,4.667,0.012,-0.042,13.319,1,-1,0,0
5442808,19 20 14.882,+40 39 45.36,5167,83,-72,4.553,0.032,-0.059,13.446,0,0,1,-1
5443837,19 21 24.274,+40 41 13.20,5857,78,-78,3.972,0.203,-0.087,14.545,1,1,1,-1
5444384,19 22 03.516,+40 41 34.80,6033,190,-232,4.46,0.05,-0.2,15.551,1,1,-1,-1
5444392,19 22 04.176,+40 41 48.52,5807,86,-78,3.93,0.233,-0.078,11.378,-1,-1,-1,-1
5445334,19 23 18.595,+40 36 24.01,5347,74,-85,4.582,0.013,-0.081,12.795,-1,-1,0,0
5445348,19 23 20.215,+40 36 19.26,5238,84,-73,4.472,0.096,-0.036,13.359,-1,0,0,0
5446285,19 24 35.537,+40 40 09.84,5486,109,-109,4.449,0.068,-0.102,13.113,0,1,1,-1
5446821,19 25 17.249,+40 36 03.56,4518,137,-137,4.565,0.06,-0.02,15.34,-1,-1,-1,-1
5449290,19 28 24.235,+40 41 56.90,4167,67,-67,1.536,0.156,-0.096,11.149,0,-1,0,-1
5449777,19 28 59.525,+40 41 45.78,6266,169,-207,4.38,0.105,-0.195,14.454,1,-1,1,-1
5449910,19 29 08.978,+40 37 44.12,5450,73,-81,4.563,0.012,-0.108,11.235,0,0,-1,0
5450093,19 29 22.493,+40 41 43.98,4435,118,-144,4.642,0.052,-0.028,15.949,-1,-1,-1,1
5450158,19 29 26.537,+40 36 00.97,8776,69,-96,3.84,0.288,-0.054,10.627,0,-1,0,0
5450166,19 29 27.509,+40 36 58.03,7122,200,-250,4.256,0.087,-0.203,12.814,-1,-1,-1,-1
5450322,19 29 38.849,+40 38 10.03,5954,161,-179,4.483,0.067,-0.202,14.786,-1,-1,-1,-1
5450662,19 30 03.941,+40 39 35.06,6011,81,-81,3.971,0.217,-0.093,13.856,0,-1,0,0
5450814,19 30 13.644,+40 38 17.49,4481,121,-148,4.763,0.059,-0.027,15.693,-1,-1,-1,-1
5450881,19 30 17.885,+40 38 03.52,10402,286,-429,4.154,0.2,-0.2,12.468,-1,-1,-1,-1
5451040,19 30 29.407,+40 40 26.80,6142,193,-236,4.456,0.052,-0.208,15.872,0,0,0,-1
5455407,19 35 29.093,+40 36 24.26,5519,174,-154,3.779,0.712,-0.237,12.214,-1,-1,-1,-1
5456023,19 36 08.693,+40 39 33.09,4916,122,-146,3.717,0.9,-0.3,14.313,1,1,-1,-1
5457337,19 37 30.132,+40 37 18.26,5974,179,-197,4.43,0.084,-0.196,14.939,0,0,0,-1
5458043,19 38 13.872,+40 40 54.98,5417,180,-180,4.47,0.084,-0.156,15.802,0,0,0,-1
5459373,19 39 39.149,+40 41 05.43,5134,154,-138,4.58,0.078,-0.052,15.091,-1,-1,-1,-1
5459628,19 39 56.023,+40 38 18.49,5438,187,-187,4.574,0.036,-0.153,15.583,0,-1,0,0
5460274,19 40 36.262,+40 36 32.43,4208,94,-115,1.56,0.03,-0.03,11.458,0,0,-1,0
5460828,19 41 10.802,+40 40 51.02,4321,118,-145,4.759,0.077,-0.033,14.244,-1,-1,-1,-1
5460835,19 41 11.258,+40 39 41.62,6136,165,-202,4.487,0.054,-0.202,14.293,-1,-1,-1,-1
5460981,19 41 19.116,+40 39 37.84,6679,161,-241,4.352,0.067,-0.202,13.45,0,0,-1,0
5461344,19 41 39.274,+40 38 33.90,8717,239,-410,4.057,0.171,-0.14,8.721,0,-1,-1,1
5461518,19 41 48.288,+40 40 47.36,6038,189,-232,4.445,0.07,-0.21,15.258,0,0,-1,0
5461756,19 42 00.336,+40 38 30.23,4014,140,-154,4.643,0.056,-0.02,13.905,-1,-1,-1,-1
5462390,19 42 33.142,+40 39 46.52,5964,179,-197,4.405,0.105,-0.195,15.239,0,0,0,-1
5462901,19 43 01.332,+40 37 07.18,4348,151,-166,4.601,0.053,-0.021,15.953,-1,-1,-1,-1
5467102,19 46 41.506,+40 39 03.54,5982,189,-210,4.493,0.054,-0.216,15.362,-1,-1,-1,-1
5467126,19 46 42.744,+40 38 56.50,4878,57,-94,2.745,0.195,-0.105,12.367,-1,-1,-1,-1
5467160,19 46 44.650,+40 39 32.94,4740,127,-142,4.539,0.065,-0.03,13.653,-1,0,0,0
5468295,19 47 43.433,+40 39 55.00,5991,181,-217,4.484,0.054,-0.216,14.31,-1,-1,-1,-1
5468551,19 47 56.602,+40 41 57.21,3431,88,-74,0.348,0.027,-0.027,13.991,-1,-1,-1,-1
5470641,19 49 49.870,+40 40 02.53,5622,185,-168,4.444,0.14,-0.155,15.455,0,0,-1,1
5471519,19 50 41.316,+40 40 38.21,4981,151,-136,4.521,0.084,-0.056,14.491,0,0,0,-1
5471548,19 50 43.651,+40 40 44.72,4581,76,-48,2.574,0.095,-0.116,11.732,0,0,0,-1
5471606,19 50 47.938,+40 38 29.28,3982,145,-108,1.464,0.286,-0.234,10.82,1,0,-1,1
5471619,19 50 48.859,+40 38 33.10,8059,224,-336,3.885,0.328,-0.102,12.37,-1,-1,-1,-1
5472950,19 52 07.097,+40 41 41.06,5254,158,-158,4.546,0.088,-0.064,14.512,-1,-1,-1,-1
5473556,19 52 36.022,+40 39 22.21,6217,188,-188,4.052,0.413,-0.177,13.545,-1,-1,-1,-1
5473826,19 52 51.079,+40 36 21.46,11063,348,-502,3.999,0.266,-0.143,10.885,-1,-1,-1,-1
5474216,19 53 09.888,+40 41 08.74,5514,183,-167,4.415,0.148,-0.222,14.871,-1,0,0,0
5474356,19 53 17.520,+40 40 13.26,5635,169,-169,4.468,0.121,-0.148,14.91,0,0,-1,0
5474533,19 53 26.081,+40 40 17.01,6309,169,-206,4.441,0.056,-0.21,13.617,1,0,-1,-1
5474812,19 53 37.889,+40 37 48.87,4665,139,-139,4.717,0.048,-0.028,14.355,-1,-1,-1,-1
5475431,19 54 03.288,+40 38 22.64,5713,154,-188,4.541,0.031,-0.168,14.456,-1,-1,-1,-1
5475624,19 54 13.205,+40 36 23.66,6751,187,-295,4.341,0.06,-0.18,15.549,-1,-1,-1,-1
5475641,19 54 14.225,+40 36 17.49,4999,151,-136,4.523,0.078,-0.052,14.298,-1,0,0,-1
5475645,19 54 14.362,+40 41 45.02,5513,147,-147,4.63,0.035,-0.112,11.205,-1,-1,-1,-1
5475712,19 54 17.717,+40 40 35.76,6596,163,-212,4.4,0.067,-0.202,13.28,-1,-1,-1,-1
5475736,19 54 18.766,+40 40 31.73,5750,172,-155,4.464,0.14,-0.154,14.011,0,-1,-1,-1
5476164,19 54 37.750,+40 39 43.30,6486,158,-248,4.403,0.065,-0.182,15.626,-1,0,0,0
5476273,19 54 42.576,+40 39 16.46,7408,232,-310,4.234,0.09,-0.195,13.622,-1,-1,-1,-1
5476448,19 54 50.726,+40 38 14.50,7247,201,-302,4.152,0.124,-0.202,12.055,-1,-1,-1,-1
5476478,19 54 52.111,+40 40 43.06,3614,75,-96,0.534,0.03,-0.03,13.742,1,1,1,-1
5477095,19 55 19.044,+40 41 29.57,3881,88,-108,1.236,0.03,-0.03,10.554,0,0,-1,1
5477436,19 55 34.284,+40 39 10.69,5880,163,-204,4.518,0.048,-0.192,15.679,0,-1,0,0
5478021,19 56 00.514,+40 38 18.56,5483,166,-149,4.578,0.043,-0.128,14.569,0,-1,0,0
5478466,19 56 22.682,+40 41 39.12,6093,171,-214,4.399,0.072,-0.217,14.226,-1,-1,-1,-1
5479717,19 57 19.762,+40 41 42.11,5176,179,-179,4.636,0.033,-0.083,15.859,0,0,-1,-1
5479800,19 57 23.686,+40 38 06.68,5780,,,4.438,,,12.47,-1,-1,-1,-1
5479821,19 57 24.778,+40 38 08.41,11030,304,-522,4.017,0.273,-0.147,9.886,-1,-1,-1,-1
5479973,19 57 31.310,+40 41 41.13,6363,176,-242,4.456,0.054,-0.202,14.889,-1,-1,-1,-1
5480080,19 57 36.586,+40 36 59.05,5018,166,-151,4.508,0.084,-0.063,15.101,0,0,-1,0
5480273,19 57 45.214,+40 36 00.08,4701,153,-153,4.694,0.052,-0.028,14.847,1,-1,-1,-1
5480282,19 57 45.506,+40 38 34.48,6343,177,-244,4.473,0.054,-0.216,14.744,1,-1,-1,-1
5480528,19 57 55.438,+40 36 33.27,5098,140,-127,3.323,0.385,-0.315,13.061,-1,-1,-1,-1
5480710,19 58 04.094,+40 36 16.35,6017,236,-145,3.935,0.435,-0.145,11.807,0,0,-1,0
5481390,19 58 33.245,+40 37 05.22,9795,306,-409,4.217,0.152,-0.228,13.261,-1,1,-1,-1
5481482,19 58 37.126,+40 40 34.39,6509,155,-214,4.418,0.065,-0.208,14.311,-1,0,0,0
5482603,19 59 29.657,+40 36 27.79,5780,,,4.438,,,11.706,-1,1,1,-1
5510843,18 51 25.392,+40 46 37.31,5161,154,-154,4.63,0.066,-0.039,14.193,-1,-1,-1,-1
5510904,18 51 32.102,+40 42 54.00,6420,146,-178,4.156,0.192,-0.128,10.696,0,1,0,-1
5511363,18 52 28.044,+40 43 37.85,6982,170,-267,4.186,0.128,-0.192,13.605,1,-1,1,-1
5511746,18 53 09.110,+40 46 26.88,6202,171,-171,3.769,0.32,-0.1,13.216,0,0,-1,0
5512513,18 54 47.738,+40 46 04.94,4711,142,-142,4.671,0.052,-0.032,14.737,1,-1,-1,-1
5512584,18 54 55.502,+40 42 26.07,4108,170,,2.023,0.26,-0.26,10.881,1,1,-1,-1
5512782,18 55 17.659,+40 46 47.60,3274,117,-78,0.108,0.195,-0.052,10.126,-1,-1,-1,-1
5513266,18 56 08.570,+40 46 44.84,4413,242,-266,4.582,0.056,-0.028,15.947,-1,-1,-1,-1
5513861,18 57 24.521,+40 42 52.96,6592,105,-157,4.369,0.032,-0.097,11.638,-1,-1,-1,-1
5514251,18 58 14.047,+40 46 39.86,4910,110,-134,2.554,0.442,-0.238,8.981,-1,0,1,-1
5514383,18 58 32.446,+40 43 11.39,6139,74,-86,4.359,0.012,-0.012,10.868,0,-1,0,0
5514871,18 59 35.090,+40 46 51.35,5218,156,-140,4.689,0.025,-0.075,12.792,-1,-1,-1,-1
5515044,18 59 57.965,+40 47 45.48,3396,82,-82,0.275,0.033,-0.033,12.973,-1,-1,-1,-1
