kepid,ra,dec,teff,teff_err_high,teff_err_low,logg,logg_err_high,logg_err_low,kepmag,Q4,Q8,Q11,Q16
1849885,19 05 22.286,+37 20 32.86,5761,154,-171,3.508,0.382,-0.127,12.953,0,0,0,-1
1864258,19 21 59.957,+37 21 45.03,3481,81,-91,0.462,0.03,-0.03,13.089,-1,-1,-1,-1
1865567,19 23 13.411,+37 22 24.38,9888,275,-412,4.209,0.144,-0.246,10.569,-1,-1,-1,-1
1866366,19 23 57.516,+37 19 39.34,3617,81,,0.712,0.03,-0.03,10.312,1,-1,-1,-1
1868650,19 26 09.449,+37 20 08.17,10949,258,-479,3.65,0.433,-0.076,13.453,-1,-1,-1,-1
1870385,19 27 39.331,+37 20 51.78,3712,83,-101,0.79,0.03,-0.03,13.338,0,0,-1,0
1870849,19 28 02.227,+37 18 34.91,6835,189,-307,4.065,0.19,-0.19,11.725,1,1,-1,-1
1872189,19 29 10.106,+37 18 39.56,6067,73,-91,4.101,0.174,-0.101,14.69,-1,0,0,0
1872192,19 29 10.253,+37 19 12.76,5314,95,-71,3.981,0.137,-0.138,13.743,-1,-1,-1,-1
1872340,19 29 17.278,+37 21 54.08,5059,140,-102,3.466,0.431,-0.308,12.77,-1,-1,-1,-1
1872885,19 29 45.696,+37 20 47.44,3847,120,-147,4.648,0.067,-0.018,15.61,-1,-1,-1,-1
1873543,19 30 20.294,+37 23 43.69,3850,120,-147,4.662,0.06,-0.02,14.444,-1,-1,1,0
1873656,19 30 27.312,+37 22 59.31,4620,139,-153,4.7,0.052,-0.028,13.869,0,-1,0,0
1873918,19 30 42.590,+37 19 04.65,6002,161,-179,4.414,0.101,-0.203,13.715,-1,-1,-1,-1
1995732,19 04 51.840,+37 25 30.86,5359,159,-159,4.57,0.037,-0.112,15.673,-1,-1,-1,-1
2010137,19 21 29.846,+37 25 22.91,4109,42,-85,1.659,0.03,-0.03,12.339,0,0,-1,0
2010607,19 22 01.356,+37 27 32.44,6235,84,-65,3.801,0.03,-0.02,11.347,-1,-1,-1,-1
2011618,19 23 00.168,+37 28 06.28,5796,157,-157,4.537,0.063,-0.147,13.099,0,-1,0,0
2012362,19 23 42.055,+37 28 34.74,6438,77,-77,4.26,0.138,-0.103,14.121,-1,-1,-1,-1
2012640,19 23 57.950,+37 29 53.09,4905,66,-73,3.68,0.108,-0.132,13.291,0,-1,0,0
2013754,19 25 01.039,+37 26 35.67,4505,137,-137,4.571,0.052,-0.02,14.399,1,0,-1,-1
2014065,19 25 18.866,+37 27 57.13,4750,142,-128,4.591,0.056,-0.032,13.362,0,0,0,-1
2016492,19 27 36.658,+37 25 46.21,3694,82,-101,0.729,0.03,-0.03,11.24,1,-1,1,1
2017803,19 28 41.095,+37 27 21.99,5211,157,-157,4.631,0.066,-0.044,14.614,-1,-1,-1,-1
2018437,19 29 17.731,+37 28 38.89,5222,203,-166,4.511,0.081,-0.081,15.617,-1,-1,0,-1
2019349,19 30 05.851,+37 26 51.48,3881,46,-100,0.574,0.203,-0.087,15.206,-1,-1,-1,-1
